time,close,high,low,spread
2025-03-13 18:51:00,1.08688,1.08694,1.08663,16
2025-03-13 18:52:00,1.08699,1.08703,1.08674,17
2025-03-13 18:53:00,1.0872600000000001,1.08727,1.08693,18
2025-03-13 18:54:00,1.08737,1.08737,1.0872,16
2025-03-13 18:55:00,1.0874,1.08743,1.08728,16
2025-03-13 18:56:00,1.08692,1.08744,1.08692,16
2025-03-13 18:57:00,1.08715,1.08727,1.08693,16
2025-03-13 18:58:00,1.08724,1.0872600000000001,1.08714,16
2025-03-13 18:59:00,1.08716,1.08724,1.08703,16
2025-03-13 19:00:00,1.08714,1.0872600000000001,1.0871,16
2025-03-13 19:01:00,1.08712,1.0872,1.08708,17
2025-03-13 19:02:00,1.08687,1.08712,1.08684,16
2025-03-13 19:03:00,1.08706,1.0871,1.08684,16
2025-03-13 19:04:00,1.08682,1.08708,1.08676,16
2025-03-13 19:05:00,1.08662,1.08684,1.08661,18
2025-03-13 19:06:00,1.08677,1.08678,1.08661,16
2025-03-13 19:07:00,1.08642,1.0867499999999999,1.08634,16
2025-03-13 19:08:00,1.08646,1.08649,1.08633,16
2025-03-13 19:09:00,1.08656,1.08657,1.08641,17
2025-03-13 19:10:00,1.08641,1.08664,1.08636,19
2025-03-13 19:11:00,1.0863,1.08653,1.08628,16
2025-03-13 19:12:00,1.08625,1.0863,1.08621,16
2025-03-13 19:13:00,1.08616,1.0863,1.08613,16
2025-03-13 19:14:00,1.08625,1.08637,1.08613,17
2025-03-13 19:15:00,1.086,1.08637,1.08593,16
2025-03-13 19:16:00,1.08578,1.08608,1.08578,16
2025-03-13 19:17:00,1.086,1.08602,1.08575,16
2025-03-13 19:18:00,1.08564,1.08602,1.08563,16
2025-03-13 19:19:00,1.08548,1.08563,1.08545,16
2025-03-13 19:20:00,1.0855,1.08556,1.08544,17
2025-03-13 19:21:00,1.08549,1.08557,1.08541,16
2025-03-13 19:22:00,1.0855,1.08554,1.08544,17
2025-03-13 19:23:00,1.0855,1.08554,1.0854300000000001,18
2025-03-13 19:24:00,1.0854300000000001,1.08552,1.08541,18
2025-03-13 19:25:00,1.08559,1.08562,1.0854300000000001,18
2025-03-13 19:26:00,1.08561,1.08564,1.08558,18
2025-03-13 19:27:00,1.08569,1.08577,1.08558,16
2025-03-13 19:28:00,1.0859,1.08593,1.08568,16
2025-03-13 19:29:00,1.08583,1.0860400000000001,1.08582,16
2025-03-13 19:30:00,1.08619,1.08623,1.08583,17
2025-03-13 19:31:00,1.0865,1.08652,1.0862,16
2025-03-13 19:32:00,1.08647,1.08657,1.0864,16
2025-03-13 19:33:00,1.0864,1.08649,1.08626,16
2025-03-13 19:34:00,1.08626,1.08648,1.08626,19
2025-03-13 19:35:00,1.08634,1.08646,1.08623,17
2025-03-13 19:36:00,1.08628,1.08645,1.08628,16
2025-03-13 19:37:00,1.08629,1.08638,1.08618,17
2025-03-13 19:38:00,1.08639,1.08647,1.08628,16
2025-03-13 19:39:00,1.08638,1.08647,1.08632,16
2025-03-13 19:40:00,1.08621,1.08646,1.08615,16
2025-03-13 19:41:00,1.08629,1.08629,1.0861399999999999,16
2025-03-13 19:42:00,1.08638,1.08643,1.08613,16
2025-03-13 19:43:00,1.0863,1.08644,1.08626,16
2025-03-13 19:44:00,1.08629,1.0864,1.08627,18
2025-03-13 19:45:00,1.08632,1.08638,1.08629,17
2025-03-13 19:46:00,1.08618,1.08638,1.08613,16
2025-03-13 19:47:00,1.08636,1.08637,1.0861399999999999,16
2025-03-13 19:48:00,1.0862,1.0864,1.08619,17
2025-03-13 19:49:00,1.08623,1.08623,1.08615,17
2025-03-13 19:50:00,1.08626,1.0863,1.08624,17
2025-03-13 19:51:00,1.08603,1.08626,1.08599,19
2025-03-13 19:52:00,1.08608,1.08613,1.086,16
2025-03-13 19:53:00,1.08588,1.08608,1.08587,17
2025-03-13 19:54:00,1.08578,1.08588,1.08577,16
2025-03-13 19:55:00,1.08569,1.08607,1.08568,16
2025-03-13 19:56:00,1.0856,1.08569,1.08558,18
2025-03-13 19:57:00,1.08548,1.08568,1.0854300000000001,16
2025-03-13 19:58:00,1.0854,1.08561,1.08535,17
2025-03-13 19:59:00,1.08539,1.08545,1.08535,17
2025-03-13 20:00:00,1.08536,1.08541,1.08527,16
2025-03-13 20:01:00,1.08533,1.0855,1.08533,18
2025-03-13 20:02:00,1.08547,1.08548,1.08524,16
2025-03-13 20:03:00,1.08558,1.08563,1.08547,17
2025-03-13 20:04:00,1.08545,1.08558,1.0854300000000001,17
2025-03-13 20:05:00,1.08523,1.08548,1.08522,16
2025-03-13 20:06:00,1.0853,1.08539,1.08523,18
2025-03-13 20:07:00,1.08541,1.0855,1.08531,16
2025-03-13 20:08:00,1.08541,1.08551,1.0854,17
2025-03-13 20:09:00,1.08562,1.08563,1.08542,18
2025-03-13 20:10:00,1.08552,1.0857,1.08552,18
2025-03-13 20:11:00,1.08532,1.08555,1.08529,16
2025-03-13 20:12:00,1.0854,1.08541,1.08531,16
2025-03-13 20:13:00,1.08555,1.08557,1.08538,18
2025-03-13 20:14:00,1.08552,1.0856,1.0855,16
2025-03-13 20:15:00,1.08531,1.0855299999999999,1.08531,16
2025-03-13 20:16:00,1.08531,1.08538,1.08523,17
2025-03-13 20:17:00,1.08533,1.08537,1.08523,17
2025-03-13 20:18:00,1.08547,1.08548,1.08533,16
2025-03-13 20:19:00,1.08535,1.08549,1.08534,18
2025-03-13 20:20:00,1.08537,1.0854,1.08534,17
2025-03-13 20:21:00,1.0855,1.0855,1.08533,17
2025-03-13 20:22:00,1.08549,1.08557,1.08547,16
2025-03-13 20:23:00,1.0856,1.08561,1.08548,17
2025-03-13 20:24:00,1.08551,1.08563,1.0855,16
2025-03-13 20:25:00,1.08558,1.08561,1.0855,16
2025-03-13 20:26:00,1.08542,1.0856,1.08542,16
2025-03-13 20:27:00,1.08537,1.0854300000000001,1.08537,18
2025-03-13 20:28:00,1.08555,1.08555,1.08533,18
2025-03-13 20:29:00,1.08551,1.08557,1.08549,17
2025-03-13 20:30:00,1.08549,1.0855,1.08536,17
2025-03-13 20:31:00,1.08551,1.08552,1.08548,17
2025-03-13 20:32:00,1.08561,1.08562,1.0855,18
2025-03-13 20:33:00,1.08546,1.08561,1.08545,17
2025-03-13 20:34:00,1.08536,1.08547,1.08535,17
2025-03-13 20:35:00,1.08531,1.08537,1.08524,16
2025-03-13 20:36:00,1.08528,1.08533,1.0852,16
2025-03-13 20:37:00,1.08536,1.0854,1.08525,16
2025-03-13 20:38:00,1.08531,1.08538,1.0853,16
2025-03-13 20:39:00,1.08523,1.08535,1.08521,16
2025-03-13 20:40:00,1.08516,1.08527,1.08515,18
2025-03-13 20:41:00,1.0852,1.08522,1.08511,17
2025-03-13 20:42:00,1.08523,1.08532,1.0852,16
2025-03-13 20:43:00,1.08525,1.08534,1.08521,17
2025-03-13 20:44:00,1.08532,1.08539,1.08524,17
2025-03-13 20:45:00,1.08548,1.08548,1.08528,17
2025-03-13 20:46:00,1.08545,1.08549,1.0854300000000001,16
2025-03-13 20:47:00,1.08534,1.0855,1.08529,17
2025-03-13 20:48:00,1.08528,1.08536,1.08527,17
2025-03-13 20:49:00,1.08535,1.08536,1.08526,18
2025-03-13 20:50:00,1.08548,1.0855,1.08532,16
2025-03-13 20:51:00,1.08535,1.08548,1.0853,16
2025-03-13 20:52:00,1.08516,1.08535,1.08516,16
2025-03-13 20:53:00,1.08521,1.08523,1.08516,17
2025-03-13 20:54:00,1.08523,1.0853,1.0852,17
2025-03-13 20:55:00,1.08527,1.08534,1.08523,18
2025-03-13 20:56:00,1.08538,1.0854,1.0853,18
2025-03-13 20:57:00,1.08532,1.08538,1.08529,17
2025-03-13 20:58:00,1.08522,1.08535,1.08521,18
2025-03-13 20:59:00,1.08527,1.08531,1.08512,16
2025-03-13 21:00:00,1.08539,1.08541,1.08526,17
2025-03-13 21:01:00,1.08539,1.08549,1.08535,17
2025-03-13 21:02:00,1.08534,1.08544,1.08529,16
2025-03-13 21:03:00,1.08542,1.08542,1.08534,18
2025-03-13 21:04:00,1.08539,1.08542,1.08535,19
2025-03-13 21:05:00,1.08524,1.0854,1.08523,17
2025-03-13 21:06:00,1.08539,1.08541,1.08521,18
2025-03-13 21:07:00,1.08539,1.0854300000000001,1.08536,16
2025-03-13 21:08:00,1.08531,1.0854,1.08531,16
2025-03-13 21:09:00,1.08537,1.08539,1.08531,16
2025-03-13 21:10:00,1.08545,1.08547,1.08535,17
2025-03-13 21:11:00,1.08551,1.08556,1.08546,17
2025-03-13 21:12:00,1.08548,1.08551,1.0854300000000001,18
2025-03-13 21:13:00,1.08549,1.08555,1.08548,19
2025-03-13 21:14:00,1.08547,1.08561,1.08547,16
2025-03-13 21:15:00,1.08534,1.08554,1.08534,16
2025-03-13 21:16:00,1.08545,1.08546,1.08535,19
2025-03-13 21:17:00,1.08542,1.08549,1.0854,16
2025-03-13 21:18:00,1.08538,1.08548,1.08538,17
2025-03-13 21:19:00,1.08538,1.08541,1.08537,17
2025-03-13 21:20:00,1.08536,1.08541,1.08532,16
2025-03-13 21:21:00,1.08528,1.08535,1.08528,18
2025-03-13 21:22:00,1.08528,1.08528,1.08523,17
2025-03-13 21:23:00,1.08525,1.08529,1.08525,18
2025-03-13 21:24:00,1.08517,1.08524,1.0851,16
2025-03-13 21:25:00,1.08505,1.08524,1.08504,16
2025-03-13 21:26:00,1.08503,1.08508,1.08503,17
2025-03-13 21:27:00,1.08516,1.08519,1.08504,18
2025-03-13 21:28:00,1.08493,1.08516,1.08469,17
2025-03-13 21:29:00,1.08516,1.08516,1.08494,17
2025-03-13 21:30:00,1.08513,1.08529,1.08512,17
2025-03-13 21:31:00,1.08511,1.08518,1.08507,19
2025-03-13 21:32:00,1.08527,1.08527,1.08507,18
2025-03-13 21:33:00,1.08518,1.08534,1.08517,19
2025-03-13 21:34:00,1.08517,1.08522,1.08512,19
2025-03-13 21:35:00,1.08511,1.08526,1.08511,18
2025-03-13 21:36:00,1.08489,1.08514,1.08489,17
2025-03-13 21:37:00,1.08489,1.0849199999999999,1.08477,18
2025-03-13 21:38:00,1.08467,1.0849,1.08466,16
2025-03-13 21:39:00,1.08483,1.08484,1.08467,16
2025-03-13 21:40:00,1.08475,1.08486,1.08472,18
2025-03-13 21:41:00,1.08487,1.08491,1.08472,19
2025-03-13 21:42:00,1.08499,1.08501,1.08477,16
2025-03-13 21:43:00,1.085,1.08502,1.08495,17
2025-03-13 21:44:00,1.08513,1.08515,1.08497,17
2025-03-13 21:45:00,1.085,1.08513,1.085,17
2025-03-13 21:46:00,1.08509,1.08514,1.085,18
2025-03-13 21:47:00,1.08509,1.08521,1.08502,16
2025-03-13 21:48:00,1.08499,1.0851,1.08497,18
2025-03-13 21:49:00,1.08512,1.08513,1.08496,19
2025-03-13 21:50:00,1.0849,1.08514,1.0849,18
2025-03-13 21:51:00,1.08502,1.08504,1.08488,19
2025-03-13 21:52:00,1.08505,1.08508,1.08501,19
2025-03-13 21:53:00,1.08506,1.08507,1.08495,19
2025-03-13 21:54:00,1.08523,1.08524,1.08505,17
2025-03-13 21:55:00,1.08519,1.08534,1.08517,16
2025-03-13 21:56:00,1.08517,1.08522,1.08514,19
2025-03-13 21:57:00,1.08493,1.08519,1.08487,18
2025-03-13 21:58:00,1.08489,1.08499,1.08487,17
2025-03-13 21:59:00,1.08474,1.0849,1.08473,18
2025-03-13 22:00:00,1.08465,1.08476,1.08464,17
2025-03-13 22:01:00,1.08476,1.0848,1.08465,18
2025-03-13 22:02:00,1.08474,1.0848,1.08471,16
2025-03-13 22:03:00,1.08474,1.08475,1.08463,16
2025-03-13 22:04:00,1.0848,1.0848,1.08474,17
2025-03-13 22:05:00,1.08484,1.0849,1.0847,16
2025-03-13 22:06:00,1.0849199999999999,1.08493,1.08483,19
2025-03-13 22:07:00,1.0849199999999999,1.08494,1.08488,18
2025-03-13 22:08:00,1.0849199999999999,1.08494,1.08487,16
2025-03-13 22:09:00,1.08495,1.08496,1.0849199999999999,19
2025-03-13 22:10:00,1.08495,1.08495,1.08494,20
2025-03-13 22:11:00,1.08501,1.08502,1.08494,18
2025-03-13 22:12:00,1.08502,1.08504,1.085,18
2025-03-13 22:13:00,1.08502,1.08502,1.085,18
2025-03-13 22:14:00,1.08512,1.08514,1.08501,19
2025-03-13 22:15:00,1.08511,1.08514,1.0851,19
2025-03-13 22:16:00,1.08512,1.08513,1.08511,19
2025-03-13 22:17:00,1.08502,1.08512,1.08502,19
2025-03-13 22:18:00,1.08505,1.08505,1.08501,17
2025-03-13 22:19:00,1.08502,1.08506,1.08502,19
2025-03-13 22:20:00,1.08494,1.08503,1.08494,19
2025-03-13 22:21:00,1.08496,1.08497,1.08494,18
2025-03-13 22:22:00,1.08495,1.08497,1.08495,18
2025-03-13 22:23:00,1.0849199999999999,1.085,1.0849199999999999,16
2025-03-13 22:24:00,1.08494,1.08494,1.0849,17
2025-03-13 22:25:00,1.08489,1.08494,1.08489,16
2025-03-13 22:26:00,1.0849,1.0849199999999999,1.08489,17
2025-03-13 22:27:00,1.08474,1.0849,1.08455,16
2025-03-13 22:28:00,1.08472,1.08479,1.08471,17
2025-03-13 22:29:00,1.08473,1.08475,1.08471,17
2025-03-13 22:30:00,1.08469,1.08475,1.08469,18
2025-03-13 22:31:00,1.08472,1.08474,1.08469,19
